Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
ak,10345315,1,"Monday, October 31, 2011 06:13:12 UTC",61.8199,-149.7165,1.5,68.90, 9,"Southern Alaska"
nc,71673371,1,"Monday, October 31, 2011 05:41:37 UTC",38.8433,-122.8280,1.8,2.30,31,"Northern California"
ak,10345306,1,"Monday, October 31, 2011 05:23:39 UTC",60.7023,-152.0183,1.5,36.00,10,"Southern Alaska"
us,b0006gq5,5,"Monday, October 31, 2011 04:48:44 UTC",-8.2231,106.7733,4.8,29.70,41,"south of Java, Indonesia"
us,b0006gqc,3,"Monday, October 31, 2011 04:45:43 UTC",-23.4109,-115.0063,5.1,10.00,164,"southern East Pacific Rise"
ak,10345295,1,"Monday, October 31, 2011 04:43:51 UTC",62.1632,-150.0445,2.3,57.80,31,"Central Alaska"
ci,11027501,0,"Monday, October 31, 2011 04:20:00 UTC",33.1580,-115.5927,1.2,0.40,12,"Southern California"
ci,11027485,0,"Monday, October 31, 2011 04:12:20 UTC",33.2795,-116.7777,1.0,13.70,51,"Southern California"
ak,10345285,1,"Monday, October 31, 2011 03:50:40 UTC",58.5350,-153.5384,2.2,65.60,14,"Kodiak Island region, Alaska"
nc,71673336,1,"Monday, October 31, 2011 03:49:06 UTC",36.6058,-121.2210,2.0,7.70,29,"Central California"
us,b0006gpr,6,"Monday, October 31, 2011 03:40:10 UTC",-25.6387,-71.6935,4.8,41.70,46,"off the coast of Antofagasta, Chile"
ak,10345282,1,"Monday, October 31, 2011 03:28:13 UTC",60.5127,-152.1848,2.1,80.40,12,"Southern Alaska"
nc,71673331,1,"Monday, October 31, 2011 02:46:35 UTC",37.6330,-121.8945,1.6,8.40,20,"San Francisco Bay area, California"
us,b0006gpi,5,"Monday, October 31, 2011 02:11:49 UTC",36.3832,70.7455,4.6,202.90,48,"Hindu Kush region, Afghanistan"
nc,71673306,0,"Monday, October 31, 2011 02:03:52 UTC",35.5087,-120.8095,1.4,5.30,17,"Central California"
ci,11027461,0,"Monday, October 31, 2011 01:43:32 UTC",34.3780,-118.6303,1.9,13.00,44,"Greater Los Angeles area, California"
us,b0006gpe,5,"Monday, October 31, 2011 01:31:40 UTC",35.7955,140.2958,4.7,65.10,25,"near the east coast of Honshu, Japan"
us,b0006gpf,3,"Monday, October 31, 2011 01:22:05 UTC",12.4187,48.0663,5.0,10.00,29,"Gulf of Aden"
ci,11027445,0,"Monday, October 31, 2011 00:08:38 UTC",34.0357,-117.2282,1.4,16.20,48,"Greater Los Angeles area, California"
nc,71673261,0,"Sunday, October 30, 2011 23:58:54 UTC",38.8305,-122.8378,1.0,1.70,16,"Northern California"
ci,11027437,0,"Sunday, October 30, 2011 23:29:42 UTC",35.0020,-117.7133,1.6,0.10,27,"Southern California"
us,b0006gp4,5,"Sunday, October 30, 2011 23:08:29 UTC",38.7833,142.4219,4.9,33.70,64,"near the east coast of Honshu, Japan"
hv,60279581,1,"Sunday, October 30, 2011 22:58:56 UTC",19.1440,-155.5520,1.9,7.10,33,"Island of Hawaii, Hawaii"
nc,71673231,0,"Sunday, October 30, 2011 22:52:35 UTC",37.5468,-118.8753,1.2,6.30,13,"Central California"
ci,11027429,0,"Sunday, October 30, 2011 21:21:27 UTC",32.9035,-116.3527,1.3,11.00,37,"Southern California"
